name	splice	description	strand	trsl start	trsl end	length	number of exons	PR binding region (from trsl start)
Cdk16	NM_001310456	cyclin-dependent kinase 16 (Cdk16), transcript variant 2, mRNA.	positive	20265079	20277005	11926	16	16260..16971:   4.3 kbp downstream from the last exon
Lonrf3	NM_028894	LON peptidase N-terminal domain and ring finger 3 (Lonrf3), mRNA.	positive	33868403	33906851	38448	11	31236..31765:   within  intron 10 
Akap17b	NM_001081956	A kinase (PRKA) anchor protein 17B (Akap17b), mRNA.	negative	34148177	34185409	37232	7	7440..7928:   within  intron 4 
Pgrmc1	NM_016783	progesterone receptor membrane component 1 (Pgrmc1), mRNA.	positive	34138187	34146074	7887	3	17430..17918:   9.5 kbp downstream from the last exon
Apln	NM_013912	apelin (Apln), mRNA.	negative	45378322	45388029	9707	3	7727..8250:   within  intron 1 
Elf4	NM_019680	E74-like factor 4 (ets domain transcription factor) (Elf4), mRNA.	negative	45764225	45816309	52084	9	50212..50781:   within  intron 1 
Phf6	NM_001290546	PHD finger protein 6 (Phf6), transcript variant 2, mRNA.	positive	50265390	50310138	44748	9	17954..18422:   within  intron 1 	53764..54271:   9.0 kbp downstream from the last exon
Phf6	NM_027642	PHD finger protein 6 (Phf6), transcript variant 1, mRNA.	positive	50265390	50310138	44748	11	17954..18422:   within  intron 3 	53764..54271:   9.0 kbp downstream from the last exon
Fam122c	NM_028671	family with sequence similarity 122, member C (Fam122c), mRNA.	positive	50626609	50654678	28069	8	7614..7986:   within  intron 2 
Prrg3	NM_001081135	proline rich Gla (G-carboxyglutamic acid) 3 (transmembrane) (Prrg3), transcript variant 1, mRNA.	positive	69207963	69218061	10098	4	17848..18311:   7.8 kbp downstream from the last exon
Prrg3	NM_001303028	proline rich Gla (G-carboxyglutamic acid) 3 (transmembrane) (Prrg3), transcript variant 2, mRNA.	positive	69207963	69218061	10098	4	17848..18311:   7.8 kbp downstream from the last exon
Cnga2	NM_007724	cyclic nucleotide gated channel alpha 2 (Cnga2), mRNA.	positive	69237187	69255557	18370	7	-8783..-8315:   8.3 kbp upstream from the first exon
Bgn	NM_007542	biglycan (Bgn), mRNA.	positive	70728939	70741275	12336	8	-3209..-2810:   2.8 kbp upstream from the first exon
Ssr4	NM_001166480	signal sequence receptor, delta (Ssr4), transcript variant 1, mRNA.	positive	71032366	71036167	3801	6	11195..11878:   7.4 kbp downstream from the last exon
Ssr4	NM_009279	signal sequence receptor, delta (Ssr4), transcript variant 2, mRNA.	positive	71032366	71036167	3801	6	11195..11878:   7.4 kbp downstream from the last exon
Irak1	NM_001177976	interleukin-1 receptor-associated kinase 1 (Irak1), transcript variant 2, mRNA.	negative	71259252	71269260	10008	14	9777..10537:   starts before the first exon, ends in  exon 1 
Irak1	NM_001177975	interleukin-1 receptor-associated kinase 1 (Irak1), transcript variant 3, mRNA.	negative	71259252	71269260	10008	14	9777..10537:   starts before the first exon, ends in  exon 1 
Irak1	NM_001177974	interleukin-1 receptor-associated kinase 1 (Irak1), transcript variant 5, mRNA.	negative	71259252	71269260	10008	15	9777..10537:   starts before the first exon, ends in  exon 1 
Irak1	NM_001177973	interleukin-1 receptor-associated kinase 1 (Irak1), transcript variant 1, mRNA.	negative	71259252	71269260	10008	15	9777..10537:   starts before the first exon, ends in  exon 1 
Irak1	NM_008363	interleukin-1 receptor-associated kinase 1 (Irak1), transcript variant 4, mRNA.	negative	71259252	71269260	10008	14	9777..10537:   starts before the first exon, ends in  exon 1 
Flna	NM_010227	filamin, alpha (Flna), transcript variant 1, mRNA.	negative	71468799	71491873	23074	46	30878..31673:   7.8 kbp upstream from the first exon
Flna	NM_001290421	filamin, alpha (Flna), transcript variant 2, mRNA.	negative	71468799	71491873	23074	47	30878..31673:   7.8 kbp upstream from the first exon
Emd	NM_007927	emerin (Emd), mRNA.	positive	71500025	71503232	3207	6	-348..447:   starts before the first exon, ends in  intron 1 
Pls3	NM_001166453	plastin 3 (T-isoform) (Pls3), transcript variant 2, mRNA.	negative	73030992	73120509	89517	16	89304..90423:   starts before the first exon, ends in  intron 1 	57360..57843:   within  intron 1 
Pls3	NM_001166454	plastin 3 (T-isoform) (Pls3), transcript variant 3, mRNA.	negative	73030992	73120509	89517	16	89304..90423:   31.9 kbp upstream from the first exon	57360..57843:   starts before the first exon, ends in  exon 1 
Pls3	NM_145629	plastin 3 (T-isoform) (Pls3), transcript variant 1, mRNA.	negative	73030992	73120509	89517	16	89304..90423:   383 bp upstream from the first exon	57360..57843:   within  intron 1 
Amer1	NM_175179	APC membrane recruitment 1 (Amer1), mRNA.	negative	92615652	92640179	24527	2	25432..26078:   905 bp upstream from the first exon
Zc4h2	NM_001003916	zinc finger, C4H2 domain containing (Zc4h2), transcript variant 1, mRNA.	negative	92834532	92853848	19316	5	8367..8880:   within  intron 1 
Zc4h2	NM_001289697	zinc finger, C4H2 domain containing (Zc4h2), transcript variant 3, mRNA.	negative	92834532	92853848	19316	5	8367..8880:   within  intron 1 
Zc4h2	NM_001289696	zinc finger, C4H2 domain containing (Zc4h2), transcript variant 2, mRNA.	negative	92834532	92853848	19316	5	8367..8880:   within  intron 1 
Stard8	NM_199018	START domain containing 8 (Stard8), mRNA.	positive	96237919	96270067	32148	14	9879..10461:   within  intron 1 
Pja1	NM_001290555	praja ring finger 1, E3 ubiquitin protein ligase (Pja1), transcript variant 3, mRNA.	negative	96661072	96666074	5002	2	14517..15174:   9.5 kbp upstream from the first exon
Pja1	NM_001083110	praja ring finger 1, E3 ubiquitin protein ligase (Pja1), transcript variant 1, mRNA.	negative	96661072	96666074	5002	2	14517..15174:   9.5 kbp upstream from the first exon
Pja1	NM_008853	praja ring finger 1, E3 ubiquitin protein ligase (Pja1), transcript variant 2, mRNA.	negative	96661072	96666074	5002	3	14517..15174:   9.5 kbp upstream from the first exon
Pja1	NM_001290556	praja ring finger 1, E3 ubiquitin protein ligase (Pja1), transcript variant 4, mRNA.	negative	96661072	96666074	5002	3	14517..15174:   9.5 kbp upstream from the first exon
Igbp1	NM_008784	immunoglobulin (CD79A) binding protein 1 (Igbp1), mRNA.	positive	97689629	97711464	21835	6	27617..28161:   5.8 kbp downstream from the last exon
Dgat2l6	NM_001114084	diacylglycerol O-acyltransferase 2-like 6 (Dgat2l6), mRNA.	positive	97720176	97741447	21271	7	-2930..-2386:   2.4 kbp upstream from the first exon
Arr3	NM_133205	arrestin 3, retinal (Arr3), mRNA.	positive	97800835	97813832	12997	17	-5668..-5206:   5.2 kbp upstream from the first exon
P2ry4	NM_020621	pyrimidinergic receptor P2Y, G-protein coupled, 4 (P2ry4), mRNA.	negative	97785492	97790208	4716	3	9675..10137:   5.0 kbp upstream from the first exon
Gdpd2	NM_001305941	glycerophosphodiester phosphodiesterase domain containing 2 (Gdpd2), transcript variant 2, mRNA.	positive	97925185	97934240	9055	16	4613..5048:   starts in  exon 10, ends in   intron 10
Gdpd2	NM_023608	glycerophosphodiester phosphodiesterase domain containing 2 (Gdpd2), transcript variant 1, mRNA.	positive	97925185	97934240	9055	16	4613..5048:   starts in  exon 10, ends in   intron 10
Dlg3	NM_016747	discs, large homolog 3 (Drosophila) (Dlg3), transcript variant 1, mRNA.	positive	97963060	98013749	50689	21	32794..33333:   within  intron 11 
Dlg3	NM_001177780	discs, large homolog 3 (Drosophila) (Dlg3), transcript variant 4, mRNA.	positive	97963060	98013749	50689	12	32794..33333:   within  intron 2 
Dlg3	NM_001177779	discs, large homolog 3 (Drosophila) (Dlg3), transcript variant 3, mRNA.	positive	97963060	98013749	50689	14	32794..33333:   within  intron 4 
Dlg3	NM_001177778	discs, large homolog 3 (Drosophila) (Dlg3), transcript variant 2, mRNA.	positive	97963060	98013749	50689	20	32794..33333:   within  intron 11 
Dlg3	NM_001290402	discs, large homolog 3 (Drosophila) (Dlg3), transcript variant 5, mRNA.	positive	97963060	98013749	50689	19	32794..33333:   within  intron 10 
Cited1	NM_007709	Cbp/p300-interacting transactivator with Glu/Asp-rich carboxy-terminal domain 1 (Cited1), transcript variant 1, mRNA.	negative	99442716	99447520	4804	3	-3464..-2922:   2.9 kbp downstream from the last exon
Cited1	NM_001276474	Cbp/p300-interacting transactivator with Glu/Asp-rich carboxy-terminal domain 1 (Cited1), transcript variant 4, mRNA.	negative	99442716	99447520	4804	3	-3464..-2922:   2.9 kbp downstream from the last exon
Cited1	NM_001276473	Cbp/p300-interacting transactivator with Glu/Asp-rich carboxy-terminal domain 1 (Cited1), transcript variant 3, mRNA.	negative	99442716	99447520	4804	3	-3464..-2922:   2.9 kbp downstream from the last exon
Cited1	NM_001276466	Cbp/p300-interacting transactivator with Glu/Asp-rich carboxy-terminal domain 1 (Cited1), transcript variant 2, mRNA.	negative	99442716	99447520	4804	3	-3464..-2922:   2.9 kbp downstream from the last exon
Cstf2	NM_133196	cleavage stimulation factor, 3' pre-RNA subunit 2 (Cstf2), transcript variant 1, mRNA.	positive	130593714	130621361	27647	14	-9653..-9216:   9.2 kbp upstream from the first exon
Cstf2	NM_001290398	cleavage stimulation factor, 3' pre-RNA subunit 2 (Cstf2), transcript variant 2, mRNA.	positive	130593714	130621361	27647	14	-9653..-9216:   9.2 kbp upstream from the first exon
Cstf2	NM_001290399	cleavage stimulation factor, 3' pre-RNA subunit 2 (Cstf2), transcript variant 3, mRNA.	positive	130593714	130621361	27647	11	-9653..-9216:   9.2 kbp upstream from the first exon
Wbp5	NM_011712	WW domain binding protein 5 (Wbp5), mRNA.	positive	132779618	132781678	2060	3	-1675..-1048:   1.0 kbp upstream from the first exon	4384..4981:   2.3 kbp downstream from the last exon
Morf4l2	NM_001168227	mortality factor 4 like 2 (Morf4l2), transcript variant 4, mRNA.	negative	133267489	133278225	10736	4	11529..12152:   1.6 kbp upstream from the first exon
Morf4l2	NM_001168226	mortality factor 4 like 2 (Morf4l2), transcript variant 3, mRNA.	negative	133267489	133278225	10736	4	11529..12152:   3.1 kbp upstream from the first exon
Morf4l2	NM_001168225	mortality factor 4 like 2 (Morf4l2), transcript variant 2, mRNA.	negative	133267489	133278225	10736	4	11529..12152:   3.3 kbp upstream from the first exon
Morf4l2	NM_019768	mortality factor 4 like 2 (Morf4l2), transcript variant 1, mRNA.	negative	133267489	133278225	10736	4	11529..12152:   2.9 kbp upstream from the first exon
Morf4l2	NM_001168228	mortality factor 4 like 2 (Morf4l2), transcript variant 5, mRNA.	negative	133267489	133278225	10736	4	11529..12152:   793 bp upstream from the first exon
Morf4l2	NM_001168230	mortality factor 4 like 2 (Morf4l2), transcript variant 7, mRNA.	negative	133267489	133278225	10736	3	11529..12152:   793 bp upstream from the first exon
Morf4l2	NM_001168229	mortality factor 4 like 2 (Morf4l2), transcript variant 6, mRNA.	negative	133267489	133278225	10736	3	11529..12152:   3.1 kbp upstream from the first exon
Zcchc18	NM_001035510	zinc finger, CCHC domain containing 18 (Zcchc18), transcript variant 1, mRNA.	positive	133527693	133531462	3769	2	-7071..-6616:   6.6 kbp upstream from the first exon
Zcchc18	NM_025893	zinc finger, CCHC domain containing 18 (Zcchc18), transcript variant 3, mRNA.	positive	133527693	133531462	3769	4	-7071..-6616:   6.6 kbp upstream from the first exon
Zcchc18	NM_001035509	zinc finger, CCHC domain containing 18 (Zcchc18), transcript variant 2, mRNA.	positive	133527693	133531462	3769	4	-7071..-6616:   6.6 kbp upstream from the first exon
Tmsb15l	NM_207267	thymosin beta 15b like (Tmsb15l), mRNA.	negative	133489528	133511413	21885	4	31094..31549:   9.2 kbp upstream from the first exon
Tmsb15b1	NM_001081983	thymosin beta 15b1 (Tmsb15b1), mRNA.	negative	133508560	133511413	2853	3	12062..12517:   9.2 kbp upstream from the first exon
Cldn2	NM_016675	claudin 2 (Cldn2), mRNA.	positive	136335346	136345927	10581	2	-3068..-2462:   2.5 kbp upstream from the first exon	-390..29:   starts before the first exon, ends in  exon 1 	4833..5697:   within  intron 1 
Usp51	NM_001137547	ubiquitin specific protease 51 (Usp51), mRNA.	positive	149441011	149444002	2991	2	5984..6931:   3.0 kbp downstream from the last exon
Rragb	NM_001004154	Ras-related GTP binding B (Rragb), mRNA.	positive	149574500	149606486	31986	11	4659..5164:   within  intron 3 
Ubqln2	NM_018798	ubiquilin 2 (Ubqln2), mRNA.	positive	149932774	149936101	3327	1	8411..8835:   5.1 kbp downstream from the last exon
Magea1	NM_020015	melanoma antigen, family A, 1 (Magea1), mRNA.	negative	151523061	151524333	1272	1	9479..10094:   8.2 kbp upstream from the first exon
Acot9	NM_019736	acyl-CoA thioesterase 9 (Acot9), transcript variant 1, mRNA.	positive	151696985	151732197	35212	15	-6280..-5702:   5.7 kbp upstream from the first exon
Acot9	NM_001313718	acyl-CoA thioesterase 9 (Acot9), transcript variant 2, mRNA.	positive	151696985	151732197	35212	16	-6280..-5702:   5.7 kbp upstream from the first exon
Prdx4	NM_016764	peroxiredoxin 4 (Prdx4), transcript variant 2, mRNA.	negative	151758460	151773003	14543	7	-9172..-8717:   8.7 kbp downstream from the last exon
Prdx4	NM_001313711	peroxiredoxin 4 (Prdx4), transcript variant 1, mRNA.	negative	151758460	151773003	14543	6	-9172..-8717:   8.7 kbp downstream from the last exon
Map7d2	NM_001313751	MAP7 domain containing 2 (Map7d2), transcript variant 2, mRNA.	positive	155852503	155936689	84186	16	44367..44872:   starts in  intron 3, ends in   exon 4
Map7d2	NM_001313752	MAP7 domain containing 2 (Map7d2), transcript variant 4, mRNA.	positive	155852503	155936689	84186	7	44367..44872:   starts before the first exon, ends in  exon 1 
Map7d2	NM_001313753	MAP7 domain containing 2 (Map7d2), transcript variant 3, mRNA.	positive	155852503	155936689	84186	13	44367..44872:   starts before the first exon, ends in  exon 1 
Map7d2	NM_001081124	MAP7 domain containing 2 (Map7d2), transcript variant 1, mRNA.	positive	155852503	155936689	84186	17	44367..44872:   starts in  intron 3, ends in   exon 4
Ap1s2	NM_026887	adaptor-related protein complex 1, sigma 2 subunit (Ap1s2), transcript variant 1, mRNA.	positive	160346948	160371598	24650	5	-7264..-6525:   6.5 kbp upstream from the first exon
Ap1s2	NM_001290379	adaptor-related protein complex 1, sigma 2 subunit (Ap1s2), transcript variant 3, mRNA.	positive	160346948	160371598	24650	6	-7264..-6525:   6.5 kbp upstream from the first exon
Ap1s2	NM_001290378	adaptor-related protein complex 1, sigma 2 subunit (Ap1s2), transcript variant 2, mRNA.	positive	160346948	160371598	24650	5	-7264..-6525:   6.5 kbp upstream from the first exon
Asb11	NM_001313737	ankyrin repeat and SOCS box-containing 11 (Asb11), transcript variant 1, mRNA.	positive	160874925	160897102	22177	7	2404..2837:   within  intron 1 
Asb11	NM_026853	ankyrin repeat and SOCS box-containing 11 (Asb11), transcript variant 2, mRNA.	positive	160874925	160897102	22177	8	2404..2837:   within  intron 2 
Piga	NM_011081	phosphatidylinositol glycan anchor biosynthesis, class A (Piga), mRNA.	positive	160857718	160871847	14129	6	19611..20044:   5.5 kbp downstream from the last exon
Fancb	NM_001146081	Fanconi anemia, complementation group B (Fancb), transcript variant 1, mRNA.	positive	161418523	161435204	16681	9	22819..23183:   6.1 kbp downstream from the last exon
Fancb	NM_175027	Fanconi anemia, complementation group B (Fancb), transcript variant 2, mRNA.	positive	161418523	161435204	16681	9	22819..23183:   6.1 kbp downstream from the last exon
Tlr8	NM_133212	toll-like receptor 8 (Tlr8), transcript variant 1, mRNA.	negative	163679054	163702261	23207	3	-8538..-7168:   7.2 kbp downstream from the last exon
Tlr8	NM_001313760	toll-like receptor 8 (Tlr8), transcript variant 2, mRNA.	negative	163679054	163702261	23207	2	-8538..-7168:   7.2 kbp downstream from the last exon
Tlr8	NM_001313761	toll-like receptor 8 (Tlr8), transcript variant 3, mRNA.	negative	163679054	163702261	23207	3	-8538..-7168:   7.2 kbp downstream from the last exon
Tmsb4x	NM_021278	thymosin, beta 4, X chromosome (Tmsb4x), mRNA.	negative	163645025	163647150	2125	3	5513..6009:   3.4 kbp upstream from the first exon
Tlr7	NM_001290758	toll-like receptor 7 (Tlr7), transcript variant 5, mRNA.	negative	163742857	163768503	25646	4	14305..14793:   within  intron 2 	13754..14244:   within  intron 2 
Tlr7	NM_001290757	toll-like receptor 7 (Tlr7), transcript variant 4, mRNA.	negative	163742857	163768503	25646	3	14305..14793:   within  intron 2 	13754..14244:   within  intron 2 
Tlr7	NM_001290756	toll-like receptor 7 (Tlr7), transcript variant 2, mRNA.	negative	163742857	163768503	25646	4	14305..14793:   within  intron 2 	13754..14244:   within  intron 2 
Tlr7	NM_001290755	toll-like receptor 7 (Tlr7), transcript variant 1, mRNA.	negative	163742857	163768503	25646	5	14305..14793:   within  intron 2 	13754..14244:   within  intron 2 
Tlr7	NM_133211	toll-like receptor 7 (Tlr7), transcript variant 3, mRNA.	negative	163742857	163768503	25646	3	14305..14793:   within  intron 2 	13754..14244:   within  intron 2 
